,File,Line,Index,Context
61,Kings_XI_Punjab_in_2014.html,388,515,""" data-file-width=""1200"" data-file-height=""600"" />"
62,Kings_XI_Punjab_in_2014.html,390,446,"lag_of_India.svg.png 2x"" data-file-width=""1350"" da"
63,Kings_XI_Punjab_in_2014.html,390,469,""" data-file-width=""1350"" data-file-height=""900"" />"
64,Kings_XI_Punjab_in_2014.html,395,501,"South_Africa.svg.png 2x"" data-file-width=""900"" dat"
65,Kings_XI_Punjab_in_2014.html,395,523,"x"" data-file-width=""900"" data-file-height=""600"" />"
66,Kings_XI_Punjab_in_2014.html,397,447,"lag_of_India.svg.png 2x"" data-file-width=""1350"" da"
67,Kings_XI_Punjab_in_2014.html,397,470,""" data-file-width=""1350"" data-file-height=""900"" />"
68,Kings_XI_Punjab_in_2014.html,402,423,"lag_of_India.svg.png 2x"" data-file-width=""1350"" da"
69,Kings_XI_Punjab_in_2014.html,402,446,""" data-file-width=""1350"" data-file-height=""900"" />"
70,Kings_XI_Punjab_in_2014.html,564,40,"tlinks"" class=""catlinks"" data-mw=""interface""><div "
71,Kings_XI_Punjab_in_2014.html,647,1043,"<a href=""https://www.wikidata.org/wiki/Q24907011"" "
72,Kings_XI_Punjab_in_2014.html,647,1093,"title=""Link to connected data repository item [g]"""
73,Kings_XI_Punjab_in_2014.html,647,1137,"m [g]"" accesskey=""g"">Wikidata item</a></li><li id="
74,Kings_XI_Punjab_in_2014.html,664,124,"<a href=""https://www.wikidata.org/wiki/Q24907011#s"
75,William_Harvey_Lillard.html,45,226,"""250"" class=""thumbimage"" data-file-width=""220"" dat"
76,William_Harvey_Lillard.html,45,248,"e"" data-file-width=""220"" data-file-height=""250"" />"
77,William_Harvey_Lillard.html,65,176,"ernal text"" href=""http://data.memberclicks.com/sit"
78,William_Harvey_Lillard.html,81,178,"ernal text"" href=""http://data.memberclicks.com/sit"
79,William_Harvey_Lillard.html,129,40,"tlinks"" class=""catlinks"" data-mw=""interface""><div "
80,William_Harvey_Lillard.html,212,1039,"<a href=""https://www.wikidata.org/wiki/Q8010993"" t"
81,William_Harvey_Lillard.html,212,1088,"title=""Link to connected data repository item [g]"""
82,William_Harvey_Lillard.html,212,1132,"m [g]"" accesskey=""g"">Wikidata item</a></li><li id="
83,William_Harvey_Lillard.html,229,124,"<a href=""https://www.wikidata.org/wiki/Q8010993#si"
84,Radial_Road_3.html,52,1061,"--2015-0428--ls-.jpg 2x"" data-file-width=""3648"" da"
85,Radial_Road_3.html,52,1084,""" data-file-width=""3648"" data-file-height=""2736"" /"
86,Radial_Road_3.html,103,453,"0px-STAR_tollway.jpg 2x"" data-file-width=""2048"" da"
87,Radial_Road_3.html,103,476,""" data-file-width=""2048"" data-file-height=""1536"" /"
88,Radial_Road_3.html,301,441,"oroute_icone.svg.png 2x"" data-file-width=""128"" dat"
89,Radial_Road_3.html,301,463,"x"" data-file-width=""128"" data-file-height=""128"" />"
90,Radial_Road_3.html,505,40,"tlinks"" class=""catlinks"" data-mw=""interface""><div "
91,Radial_Road_3.html,588,1003,"<a href=""https://www.wikidata.org/wiki/Q25339476"" "
92,Radial_Road_3.html,588,1053,"title=""Link to connected data repository item [g]"""
93,Radial_Road_3.html,588,1097,"m [g]"" accesskey=""g"">Wikidata item</a></li><li id="
94,Radial_Road_3.html,605,125,"<a href=""https://www.wikidata.org/wiki/Q25339476#s"
95,George_Weldrick.html,194,40,"tlinks"" class=""catlinks"" data-mw=""interface""><div "
96,George_Weldrick.html,277,1011,"<a href=""https://www.wikidata.org/wiki/Q5546140"" t"
97,George_Weldrick.html,277,1060,"title=""Link to connected data repository item [g]"""
98,George_Weldrick.html,277,1104,"m [g]"" accesskey=""g"">Wikidata item</a></li><li id="
99,George_Weldrick.html,294,124,"<a href=""https://www.wikidata.org/wiki/Q5546140#si"
100,Zgornji_Otok.html,6,496,"nks"",""Coordinates on Wikidata"",""Pages using deprec"
101,Zgornji_Otok.html,53,586,"location_map.svg.png 2x"" data-file-width=""1159"" da"
102,Zgornji_Otok.html,53,609,""" data-file-width=""1159"" data-file-height=""857"" />"
103,Zgornji_Otok.html,55,392,"12px-Red_pog.svg.png 2x"" data-file-width=""64"" data"
104,Zgornji_Otok.html,55,413,"2x"" data-file-width=""64"" data-file-height=""64"" /><"
105,Zgornji_Otok.html,65,370,"aerial photos, and other data for this location""><"
106,Zgornji_Otok.html,65,626,"aerial photos, and other data for this location"">4"
107,Zgornji_Otok.html,65,1221,"aerial photos, and other data for this location""><"
